id,description,heading,chapter,rulingDate,searchTerm
N359709,"a woman’s jacket",6202,62,2026-04-03,hoodie
N346848,"a textile costume trunk",9505,95,2025-03-20,hoodie
N341320,"a women’s recovery hoodie",6110,61,2024-08-12,hoodie
N335561,"a women’s hooded blouse",6106,61,2023-10-11,hoodie
N334502,"women’s blouses",6106,61,2023-08-08,hoodie
N329523,"the “Catnip Cuddle” doll and the “Stuffed Sea Guppy” fish-shaped pillow",9503,95,2022-12-02,hoodie
N327601,"a men’s hooded pullover",6110,61,2022-08-31,hoodie
N319174,"women’s and men’s upper body garments",6110,61,2021-05-24,hoodie
N310402,"a children’s jumpsuit",6211,62,2020-04-01,hoodie
N306326,"unisex jackets",6102,61,2019-10-15,hoodie
N286274,"a girls’ jacket",6102,61,2017-12-01,hoodie
N336897,"polyethylene retail carrier bags",3923,39,2023-12-12,t-shirt
N336728,"women’s knit garments",6109,61,2023-12-06,t-shirt
N332869,"a boy’s garment",6109,61,2023-05-31,t-shirt
N331830,"a nonwoven t-shirt style bag",6307,63,2023-04-13,t-shirt
N325544,"biodegradable plastic bags",3923,39,2022-04-26,t-shirt
N309146,"biodegradable plastic retail carrier bags",3923,39,2020-02-04,t-shirt
N305981,"men’s knit garments",6109,61,2019-09-23,t-shirt
N301538,"men’s work shirt",6211,62,2018-11-21,t-shirt
N323309,"men’s trousers",6203,62,2022-01-05,jeans
N303026,"women’s trousers",6204,62,2019-03-14,jeans
N360990,"a textile Halloween Basket",6307,63,2026-05-12,dress
N360145,"metal furniture",9403,94,2026-04-09,dress
N360271,"textile furniture",9403,94,2026-04-09,dress
N358985,"bib-shaped textile coverings",6307,63,2026-03-19,dress
N358801,"a framed canvas print",4911,49,2026-03-10,dress
N357841,"two costumes",9505,95,2026-01-20,dress
N361012,"women’s tops",6211,62,2026-05-21,jacket
N359769,"a polymerization reactor",8419,84,2026-03-25,jacket
N357848,"foot prostheses and their individual components",9021,90,2026-03-03,socks
N355778,"wading boots",6402,64,2025-12-05,socks
N355201,"workout footwear",6405,64,2025-11-14,socks
N350749,"socks from an undisclosed country",6115,61,2025-08-04,socks
N348907,"AFO Symmetry Straps",9021,90,2025-06-09,socks
N339073,"acrylic yarns",5509,55,2024-12-06,socks
N339080,"drawn textured polypropylene yarns",5402,54,2024-10-10,socks
N340134,"infant socks",6111,61,2024-05-31,socks
N334203,"a Foot Work reflexology kit",9019,90,2023-08-01,socks
N329665,"three steel hangers",8302,83,2022-12-20,socks
N323706,"cotton yarns",5205,52,2022-04-06,socks
N318785,"an article of glass fibers",7019,70,2021-09-28,socks
N326678,"footwear with a lighted tongue",6403,64,2022-07-12,sneakers
N287202,"the Razor “Jetts DLX”",9506,95,2017-06-22,sneakers
N354200,"a one-piece molded clog",6402,64,2025-10-01,sandals
N354301,"a one-piece molded slip-on shoe",6402,64,2025-10-01,sandals
N356922,"a double-walled vacuum sealed stainless-steel tumbler",9617,96,2026-01-28,baseball cap
N355693,"an electromagnetic stimulation device",8543,85,2025-11-20,baseball cap
N353548,"a baseball-style hat",6505,65,2025-10-01,baseball cap
N325666,"a cap insert",6507,65,2022-05-24,baseball cap
N356180,"a woman’s skirt",3926,39,2025-12-02,leather gloves
N347381,"an outsole roughing and sanding machine",8477,84,2025-04-17,leather gloves
N336251,"a women’s belt",3926,39,2023-11-21,leather gloves
N330959,"an emergency survival backpack kit",8527,85,2023-03-08,leather gloves
N315669,"a faux leather jacket",3926,39,2020-11-10,leather gloves
N352981,"remote mount control unit",8517,85,2025-09-18,bluetooth speaker
N350114,"a personal assistant robot",8543,85,2025-07-03,bluetooth speaker
N348181,"a smart ring",9031,90,2025-04-30,bluetooth speaker
N347828,"an effects pedal",8543,85,2025-04-24,bluetooth speaker
N341281,"a hologram wireless Bluetooth speakers",8518,85,2024-08-01,bluetooth speaker
N340401,"a plastic water bottle",3924,39,2024-06-21,bluetooth speaker
N340388,"3 styles of Bluetooth loud speakers",8518,85,2024-06-12,bluetooth speaker
N340130,"a 5-Tool Combo Kit Power Tool Set",8467,84,2024-05-21,bluetooth speaker
N337970,"a cellular telephone/watch",8517,85,2024-02-14,bluetooth speaker
N335141,"an Electric Go-Kart",8703,87,2023-09-29,bluetooth speaker
N326117,"a Bluetooth Party Speaker",8518,85,2022-05-20,bluetooth speaker
N322422,"hoverboard accessories",8714,87,2021-11-18,bluetooth speaker
N315726,"a digital media player",8517,85,2020-11-16,bluetooth speaker
N313553,"radio-broadcast receivers",8527,85,2020-08-18,bluetooth speaker
N357069,"a tinnitus treatment device",9018,90,2026-01-12,headphones
N352742,"watch straps",9113,91,2025-09-16,smart watch
N339719,"the FightCamp console and tracker set",9031,90,2024-05-10,smart watch
N296023,"the “Herovision” Augmented Reality (AR) set",9004,90,2018-05-08,smart watch
N287497,"the “R2-D2” smart toy robot",9503,95,2017-07-18,smart watch
N287580,"the “Cars Lightning McQueen” smart toy",9503,95,2017-07-13,smart watch
N347600,"a metal hexagon sticker",7326,73,2025-05-05,phone case
N347798,"an LCD home automation hub",8531,85,2025-04-28,phone case
N341056,"a wood identification kit",9013,90,2024-07-12,phone case
N337421,"a card holder",4202,42,2024-01-30,phone case
N336903,"a cell phone cover with a card case",4202,42,2023-12-15,phone case
N336451,"a streaming set",9620,96,2023-11-21,phone case
N335514,"the Magsafe Fingerloop Stand",7616,76,2023-09-28,phone case
N326427,"footwear insoles",6406,64,2022-06-23,phone case
N325560,"the Aavia Pill Case",9031,90,2022-05-11,phone case
N316886,"a phone case with magnifier",9013,90,2021-01-25,phone case
N315234,"privacy phone booths and components",9403,94,2020-11-06,phone case
N306755,"cell phone lanyard",5609,56,2019-11-14,phone case
N359291,"an aviation headset battery charger",8504,85,2026-03-24,battery charger
N359612,"a cordless power hand-held spreader kit",8479,84,2026-03-18,battery charger
N359248,"a robotic pool skimmer",8421,84,2026-03-17,battery charger
N359206,"a elevator cable cleaning and lubrication system",8479,84,2026-03-06,battery charger
N356789,"a universal battery charger",8504,85,2025-12-29,battery charger
N356778,"a user guide",4901,49,2025-12-22,battery charger
N356154,"robotic platforms",8479,84,2025-12-10,battery charger
N355848,"a battery-powered handheld tool set",8467,84,2025-12-03,battery charger
N353154,"portable oxygen concentrators",9019,90,2025-09-25,battery charger
N352352,"a prosthetic hand set and prosthetic elbows sets",9021,90,2025-09-10,battery charger
N350173,"an LED clip-on light",8513,85,2025-07-09,LED lamp
N346962,"Christmas decorations",9505,95,2025-03-24,LED lamp
N344651,"a liquid crystal lighting device",9013,90,2025-01-06,LED lamp
N337034,"LED lamp boards",8539,85,2024-01-02,LED lamp
N334432,"lighting fixtures",9405,94,2023-08-14,LED lamp
N351198,"piano overlays",4911,49,2025-07-29,computer keyboard
N318809,"a portable automatic data processing (ADP) machine",8471,84,2021-04-19,computer keyboard
N310447,"a Kurio Next Tablet",8471,84,2020-03-20,computer keyboard
N303442,"personal computers (PCs)",8471,84,2019-03-28,computer keyboard
N295452,"a LCD display monitor",8528,85,2018-03-29,webcam
N289518,"Virtual Reality (VD) goggles",8528,85,2017-09-20,drone
N289540,"a neutral density filter",9002,90,2017-09-07,drone
N289532,"drone propellers and propeller guards",8803,88,2017-08-31,drone
N334094,"a power bank kiosk",8504,85,2023-08-04,power bank
N328222,"an electric outboard motor",8501,85,2022-10-14,power bank
N306841,"a jump starter and power pack set and a power bank",8507,85,2019-11-12,power bank
N305956,"three game machine power supply units",9504,95,2019-09-18,power bank
N289736,"a hybrid generator set",8502,85,2017-09-26,power bank
N288408,"charging kits",8507,85,2017-08-16,power bank
N357549,"a ceramic mug and handled ceramic cups",6912,69,2026-01-15,ceramic mug
N353512,"ceramic cups and a ceramic coaster set",6912,69,2025-09-26,ceramic mug
N334248,"a ceramic cup and spoon",6912,69,2023-07-28,ceramic mug
N345071,"a stuffed food preparation",1902,19,2025-02-07,frying pan
N286356,"a nonstick aluminum frying pan",7615,76,2017-06-14,frying pan
N358245,"knife sharpeners",8205,82,2026-02-05,kitchen knife
N352117,"duvet cover, dish towel, fitted sheet, beach towel and hand towel",6302,63,2025-08-29,kitchen knife
N347281,"a six-piece grooming set",8214,82,2025-04-23,kitchen knife
N341177,"three knife sets",8211,82,2024-08-05,kitchen knife
N333596,"three individual knives and a set including three knives",8211,82,2023-07-10,kitchen knife
N324986,"a duvet cover",6302,63,2022-04-06,kitchen knife
N283661,"a paring knife set",8211,82,2017-03-15,kitchen knife
N360646,"a household kitchen cutting board",7323,73,2026-05-11,cutting board
N356962,"an electrical cable",8544,85,2025-12-19,cutting board
N348734,"a pressure belt",8441,84,2025-05-09,cutting board
N360484,"two decorative pillows",9404,94,2026-04-10,pillow
N359790,"a toddler sleep mat",9404,94,2026-03-31,pillow
N358599,"heated lumbar pillow and heated back rest",9404,94,2026-02-27,pillow
N358305,"a vibrating alarm clock",9105,91,2026-02-26,pillow
N353814,"Optilife chin straps",9019,90,2025-10-15,pillow
N360755,"throw blankets",6301,63,2026-04-28,blanket
N352005,"knitted and woven blankets",6301,63,2025-08-22,blanket
N348968,"injection type molds",8480,84,2025-06-03,curtain
N324162,"a kitchen window valance and tier curtain set",6303,63,2022-07-18,curtain
N318689,"String Lights",9405,94,2021-04-29,curtain
N316502,"curtain wall frames and entrance door frames",7604,76,2021-01-04,curtain
N312202,"the Plus Bionics POD",9027,90,2020-06-18,curtain
N308394,"a bed valance",6303,63,2020-06-10,curtain
N357291,"a hearing aid vacuum cleaner",8508,85,2026-01-13,vacuum cleaner
N356793,"a robot vacuum cleaner featuring mopping, self-cleaning and self-dry function",8508,85,2026-01-05,vacuum cleaner
N354669,"an aquarium gravel cleaner",8421,84,2025-10-29,vacuum cleaner
N343613,"a pool vacuum cleaner",8421,84,2024-10-30,vacuum cleaner
N326460,"a robotic vacuum cleaner",8508,85,2022-06-23,vacuum cleaner
N316258,"the Shine Bathroom Assistant",8424,84,2020-12-08,vacuum cleaner
N312802,"a jewelry cleaner",8509,85,2020-07-09,vacuum cleaner
N360909,"“Lao Xie Zhen Frozen Seafood Cheese Rice Burger”",1904,19,2026-05-14,storage box
N359553,"a temperature control unit",8419,84,2026-03-24,storage box
N359156,"a battery assembly",8507,85,2026-03-09,storage box
N349794,"two steel soaking tubs",7324,73,2025-07-03,storage box
N348430,"five watch boxes",4202,42,2025-05-29,storage box
N347087,"an ultra low-NOx burner",8419,84,2025-04-02,storage box
N360838,"an Aluminum Frame with Pin Clip System",8306,83,2026-05-19,picture frame
N359791,"a Day of the Dead ofrenda altar",4420,44,2026-04-03,picture frame
N359705,"a decorative wire pumpkin",8306,83,2026-04-02,picture frame
N356897,"a Paint-By-Number Kit",3213,32,2025-12-23,picture frame
N356689,"plastic picture frames",3924,39,2025-12-17,picture frame
N353507,"picture frame moldings",4421,44,2025-10-01,picture frame
N353362,"steel sign frames",8306,83,2025-09-30,picture frame
N352141,"paperboard picture frame kit",4823,48,2025-08-28,picture frame
N350696,"modular building components",7616,76,2025-07-02,picture frame
N339771,"a decorative glass article",7013,70,2024-08-09,picture frame
N355963,"children’s soft books",4903,49,2025-12-03,plush toy
N340532,"a Care Bear Cheer 3D Keychain",7326,73,2024-06-24,plush toy
N361080,"a large-scale “Battleship” board game",9504,95,2026-05-12,board game
N353019,"a Monopoly game",9504,95,2025-09-16,board game
N352320,"“Prism” guided corporate exercises",4911,49,2025-08-29,board game
N344742,"the “Twister Splash” water game",9506,95,2024-12-20,board game
N331029,"the “Axe Throwing Game Set”",9506,95,2023-02-23,board game
N360455,"bicycle hitch racks",8708,87,2026-04-29,bicycle
N355873,"printed self-adhesive vinyl bib numbers and helmet stickers",3919,39,2025-11-20,bicycle
N352469,"a bicycle helmet",6506,65,2025-09-09,bicycle
N352475,"helmet accessories",6507,65,2025-09-09,bicycle
N351067,"a bicycle work stand",7616,76,2025-07-17,bicycle
N344662,"an Electric Motorcycle",8711,87,2024-12-20,bicycle
N340921,"bicycle parts",8714,87,2024-07-03,bicycle
N340812,"bicycle wheelset",8714,87,2024-06-27,bicycle
N339879,"a mountain bicycle",8712,87,2024-05-10,bicycle
N337726,"electric scooters and e-bike",8711,87,2024-02-09,bicycle
N328813,"rubber dog toy",4016,40,2022-11-03,dumbbell
N336481,"Fishing Rod kit",9507,95,2023-11-21,fishing rod
N332802,"fishing rod holders",9507,95,2023-05-12,fishing rod
N330340,"a fishing cup holder",7326,73,2023-02-08,fishing rod
N321619,"fly-fishing kits",9507,95,2021-10-04,fishing rod
N301031,"recreational boats",8903,89,2018-11-02,fishing rod
N295506,"a protective sleeve",4016,40,2018-04-19,fishing rod
N354413,"a mobile housing trailer",8716,87,2025-10-15,camping tent
N311151,"a truck bed camper shell",8708,87,2020-04-28,camping tent
N303866,"a backpacking tent and rain fly",6306,63,2019-05-06,camping tent
N302567,"a tent and backpack",6306,63,2019-03-05,camping tent
N312986,"an electric scooter",8711,87,2020-07-16,skateboard
N303622,"ball bearings used with skateboard wheels",8482,84,2019-04-29,skateboard
N358621,"an inflatable kayak/stand up paddle board",8903,89,2026-02-17,backpack
N357223,"the Titan Pro Ice Pack Set",3824,38,2026-01-07,backpack
N300984,"Binders and File Folders",4820,48,2018-10-31,wallet
N300397,"a multifunctional tool",9017,90,2018-10-01,wallet
N291864,"a unisex garment",6210,62,2017-12-05,wallet
N343778,"Shamrock glasses",9004,90,2024-11-15,sunglasses
N343877,"party favor sunglasses",9004,90,2024-11-14,sunglasses
N320210,"a beach chair pocket towel",6304,63,2021-07-07,sunglasses
N315235,"eyeglass frame and clip-on sunglasses",9003,90,2020-10-28,sunglasses
N306716,"“Microfiber Lens Wipes”",3402,34,2020-04-23,sunglasses
N347448,"golf umbrellas",6601,66,2025-04-16,umbrella
N337801,"an umbrella base",6603,66,2024-02-02,umbrella
N334613,"garden umbrellas",6601,66,2023-08-28,umbrella
N333926,"Classification of a glass twisting machine",8445,84,2023-07-26,umbrella
N303295,"steel fasteners and wire",7317,73,2019-04-02,umbrella
N302391,"a patio umbrella",6601,66,2019-02-15,umbrella
N355090,"a spade bit set",8207,82,2025-10-28,necklace
N354082,"a labradorite necklace",7116,71,2025-10-10,necklace
N354151,"a hex key set",8204,82,2025-09-29,necklace
N360074,"a children’s projection wristwatch",9102,91,2026-04-07,wristwatch
N357251,"four wristwatches",9102,91,2026-01-09,wristwatch
N322971,"a cooling wristband",7117,71,2021-12-15,wristwatch
N358456,"shampoos for dogs",3307,33,2026-02-27,shampoo
N346484,"Derma Roller",8205,82,2025-03-31,shampoo
N344746,"ROOTONIX Golden Biotin Shampoo, ROOTONIX R+ Micro Bio Shampoo, ROOTONIX Blue Xylitol Shampoo, ROOTONIX Hyaluronic Aloe Shampoo, and ROOTONIX Anti-Dandruff Shampoo",3305,33,2025-01-13,shampoo
N344747,"ROOTONIX S.O.S. CICA Shampoo",3305,33,2025-01-08,shampoo
N329760,"Sashapure Healing Shampoo; Sashapure Healing Conditioner; Sashapure Restorative Conditioning Masque; Sashapure Smoothing & Shine Hair Treatment; and Sashapure Defining Curl Cream from an unknown country",3305,33,2022-12-22,shampoo
N327317,"aluminum locking brackets",8301,83,2022-07-28,shampoo
N302458,"a “7 pc. Squeezable Bottle Kit”",3924,39,2019-02-19,shampoo
N302530,"SF1173 (D4) and SF1202 (D5)",2931,29,2019-02-07,shampoo
N298762,"a foamer pump engine",8413,84,2018-07-31,shampoo
N312928,"scented candles",3406,34,2020-07-15,scented candle
N312634,"soy wax scented candles",3406,34,2020-06-25,scented candle
N305925,"a “Multipurpose SPA Gift Set”",9613,96,2019-09-10,scented candle
N353266,"a vacuum-insulated stainless steel water bottle",9617,96,2026-01-28,water bottle
N336485,"hand sanitizer",3808,38,2023-12-07,water bottle
N335826,"Snow Color Markers",3213,32,2023-10-27,water bottle
N325431,"a dog collar",4201,42,2022-05-10,dog collar
N357453,"Frozen Braised Beef",1602,16,2026-01-23,tumbler
N349684,"the Aspen tumbler",9617,96,2025-09-25,tumbler
N350527,"Seasoned Frozen Boneless Beef",0202,02,2025-07-23,tumbler
N321134,"a stainless steel tumbler",7323,73,2021-12-03,tumbler
N306280,"travel padlocks",8301,83,2019-10-10,tumbler
N305865,"welding cable locks",8301,83,2019-09-10,tumbler
N297759,"insulated stainless steel beverage tumblers",7323,73,2018-07-06,tumbler
N358918,"art instruction book sets",4901,49,2026-03-17,essential oil
N356833,"Nimbo Organic Insecticide",3808,38,2025-12-15,essential oil
N351670,"oil hose reels",4009,40,2025-07-30,essential oil
N348330,"ready-to-eat snack mixes",2008,20,2025-05-28,essential oil
N342688,"an Instant Iced Tea",2106,21,2024-10-15,essential oil
N342775,"Animal Feed Additive",2309,23,2024-10-11,essential oil
N341295,"multilayer wood flooring",4412,44,2024-07-24,essential oil